prompt,dataset,label
"I am on pain management for severe back injuries and back surgeries from being a nurse. approx 8 months ago I had typical blood work done that included lipid panel and everything was with in norm limits. I just recently had blook draw again and trig. were 315!! I also had extemely elevated inflammatory such as sed rate etc. This in combination have caused me to have very high cardiac enzymes. I am taking neurontin, percocet, and zanaflex which is presribed by dr. Is is possible that any of these medications can cause such elevated lipids? I have not changed my diet and if anything I have actually been eating healthier.  I cant seem to lose any weight and have frequent swelling of my stomach. HELP!!!",healthcare,2
"i had a stone in the left side of kidney sizes .2.3mm.i suffered too much pain at that time.after having homoeo medicines i got relief.after 1 year again i am having the problems and in the urine test there was sign of blood .doctor told to do the scanning.nowadays i am having heartburning.i feel a pain the heart and sometimes it spreads to left and right shoulder and too much gases.now i am taking too much water.i am 33 yrs,55 kg.",healthcare,2
"I had a hysterectomy on 7/29/13 for endometrium cancer, grade 2.  The invasion was 6 mm with  the thickness of the myometrium of  8 mm, The pathology report was negative for any metastasis and the lymph nodes were all negative.  I had a PET/CT Scan on 10/17/13 which was negative for and recurrent or metastatic endometrial carcinoma.  I am wondering if I should have radiation to the pelvis as my doctor suggest or not.  I am 75 years old, still working and have been healthy until now.",healthcare,2
"Hi, I am having trouble with my front teeth hitting first. I can clench slightly to make my back teeth touch. I have worn two different appliances for over 20 yrs. I am a bruxer and prior to appliance therapy, had numerous headaches. I wore a full splint for about 11 yrs. and an NTI since. Both worked well. Recently I have been clenching a lot during the day as well as during sleep. I am \""religious \"" about wearing my NTI. What do you think is going on in my joints to cause this ? Thanks.",healthcare,2
"My daughter is almost 7 yrs. old. On Friday and Saturday, she had a fever, on and off. Yesterday and today (for over 36 hours) no fever. Now she has been complaining that her chest and throat hurt - and says her chest pain is worse when she lies down? I m taking her to the doctor as soon as their lunch ends at 1",healthcare,2
Hi for years now at times i suffer awful stomach pain high up in the tummy. i find it happens sometimes if i lie down short time after food..my tummy swells up and pain becomes severe i have to curl up and after some 15 minutes or more with the releasement of wind the pain eases a bit. it is also sore to touch if i press in . can u help please,healthcare,2
"Ihave PCOD problem, what are the effects of duphaston tablets bp 10 mg, i m married from last 3 years,my age is 30 , i want to conceive baby...wht will be the solution, we tried IUI 3 times.... but no result..(my husbands semen count is 82%) ruchira-mumbai",healthcare,2
"I am looking for a Dr. in SIerra Vista, AZ that will accept a patient that has several medical problems and has had several surgeries. I just came here a year ago from the east. I am on Pain Medications for Migraines and Back & Neck fusions. I have diabetic neuropathy also. Thanks very much",healthcare,2
"Hi, I believe I may have panic disorder. I was recently diagnosed with an anxiety disorder and put on medication to help with it. A few weeks ago, I had my first panic attack. I was hyperventilating, trembling, sweating, and felt like I was going crazy and detached. I have had multiple attacks in the past month, often in my bathroom and at my mother s work office. Because of this I have begun to avoid these areas like the plague. My doctor told me I had nothing to worry about, but I can t help but to feel scared of having another at school or in public. Any advise?",healthcare,2
my sugar level fbs 180 and ppbs 380.then doctor prescribed glycoment gp 1 fort every day one cap for 15 days.again i checked sugar.sugar level fbs 170 and ppbs 360.then i meet other doctor.doctor prescribed ozomet g2 every day one cap two times.after 10 days i check my sugar again.now sugar leem fbs is 130 ppbs 240.why like this.both medicines contains metformin.kindly give reply,healthcare,2
"hi, im mrs. srikanthan, my son, 3yrs old, got a lump on his inner elbow on 2.2.2014 night was only it was visible, he was at a play pen during the day and its painless. we consulted a paediatric surgeon and was suggested for an ultra sound scan. in that its not visible and he assumes that it can be cancer, however to operate and take it out and get it etsted before deciding on anything?also please note we are treating him now for epilepsy, whci last only max 6-10secs and he has no pain with regard to that, if hes eating or drinking or do whatever he continues to do the same, medication carried out now for 2 months (rivotril) and thank god he didnt get it again and controlled.require some advice. am i to go for the surgery for my son? what are chances of being cancer? being a mother im nervous on this topic.",healthcare,2
"I have no health insurance and need to know if my symptoms warrant a trip to the ER. I am a 24 year old female and I Just moved to Prescott,AZ almost a month ago and am at a very I elevation. My symptoms are, very swollen and painful breast and nipples. All my joints and bones are beyond painful and stiff. I have noticed some swelling in my hands and haven t slept in 24 hours because of the pain, I have tried advil , hot baths, and even half a Vicodin and nothing touches it. I am also having a lot of asthma attacks and find my self waking up have to take heavy breaths like I was just running around. Originally these where slow onset about 2 weeks after being here but they hit me incredibly hard the last week. I keep waiting for it to go away but it just gets worse. Also I have celiacs , however I am religouse about my diet and haven t had ANYTHING with gluten in it for years. I am also having alot of dull, throbbing headaches.",healthcare,2
"I have been having chest pains on and off for 3 days now, I feel very sluggish although I haven t missed work it is very hard to concentrate, I am a waitress so I am constantly on the go, I thought it might be indigestion but I didn t eat anything today and still no change what do I need to do? at times my left arm feels very heavy when the pain comes",healthcare,2
"Can maca root give a male a bigger butt?  Im 58, 140 lbs, 25 y/o.  Im also a ts who is on hormones?  I heard maca can balance your hormone levels, but will that affect me badly (more testosterone and less curves)?  Should I just stick to my regular hormone regimen and workout routine?",healthcare,2
dr.  i have been using rmd gutkha for the past 2 and half years.  I used to take one or 2 small pouch daily.. nowadays i could not take any spicy or hot food. I could see few sores in the edges of my tongue.  will it lead to cancer.  I have applied few ulcer gel/madicines but still it is not cured. please help to recover from the above,healthcare,2
"Hi, I had my follicular reading done ,on 19th day my follicule size is 10mm . It s was constant from 10th day to 19th day and didn t increased a bit, my doc has prescribed me with metaformin 500mg (bd) and duphaston10 mg (bd). Can I get pregnant this month ? I have pcos.",healthcare,2
"My muscles tighten up under my rib cage on the right side of my body, almost feels like my insides are shifting (if that makes any sense ). Then after the spasm is done, it s sore for a few hours, maybe even a day or so, then doesn t happen again for months. It occurs when I m sitting in a weird position or stretching at the gym , after a workout. What could this be?",healthcare,2
"I;m going through spells of depression a few times a week and then it seems as though Im full of energy. Im sleeping a lot some days; then other days it seems as if I cant sleep at all and on those days Im full of energy and the lack of sleep does not affect my work performance. I cant concentrate, my thoughts race though my mind. My wanting of sex has increased. I have lost interest of the things I have once enjoyed, most of the time I just want to be left alone with my thoughts. Im afraid of talking to someone about this.",healthcare,2
"my 5 year old woke up this morning saying that his head hurt (right behind his ear). I asked him if his ear hurt and he said it did not. That pain went away after a few mins but then he started complaining of his chest hurting (up high close to his neck) He has a fever of 100.3 and I put my hand on his chest and could feel his heart pounding hard. I felt his radial pulse, it didn t feel extremely fast for a child.",healthcare,2
"I had 2 early miscarriages. I have PCOS and i was on metformine 1500mg daily. When a get know about my 6 weeks pregnancy, I decide to stop the metformine as Dr advice it inorder to allow pregnancy. Then after 4 days I start  havin light bleeding.At hospital the gyne do echo and found a gestational sac. On the next day there was no bleeding and the Dr allow me home and bed rest and no new Rx. So I stop the metformine. Then 3 days later I bled wittout pain.. and in echo no sac and uterine lining thin.. What happen.. should i continue metformine. Last year was same miscarriage when I stop metformine. (Is Metformine important for PCOS patients)",healthcare,2
"My son 5 years old is suffering from high fever around 103 def F and complaining throat infection . It seems to be a viral fever. We had ice cream and food outside yesterday. . Pls advise, we can use the Crixan Syrup with Ibugesic plus. or Advise accordingly. regards rakesh",healthcare,2
"Hi , I have had a heart attack 3 weeks ago and 2 stents inserted and I am medicated with blood thinners and blood pressure to mention a few I am a 54 year old male , I still have one more stent to be inserted in a months time in the LAD which is approx. 90% blocked I am feeling quiet well and Mobil ,apart from the occasional chest pain whicChatDoctores and goes. My main concern is waiting that month, what would suggest.",healthcare,2
"my name is Malini and im 25yrs old.my hgt is 150cm and wt is 70kgs.Im married for 3 yrs.but ive not conceived yet.im not getting my periods regularly.me and my hus is undergoing infertility treatement.he is also having a problem of low count and motility.after a period of 3 months,today(24/11/11),i got my periods.so my doctor advised me to take progynova 2mg tablets for 3 days.he is telling that im not ovulating.i ve undeergone a detailed hormone test,hsg and 2 iui.all the tests shows a normal condition.and the two iuis were unsuccessful.now my doubt is ,is there any problem of consuming the tablet i early prescribed?and how many of them to be consumed daily?and when?is it helpful for ovulation.if you suggest any report to be attached,i ll attach the required one.",healthcare,2
40 yr old male had heart cath 2 weeks ago. heart cath ruptured 2 times within 24 hrs post cath.am still having pain in groin and left side of penis. have not had an erection since having the heart cath done. is there any correlation between the two.,healthcare,2
"my son is downsyndrome ,24years old.He has seizures and tics,.He is on keppra,25ml at night,and topama 100ml,2 of them and 2 25ml at night, and one metoprolol ,25ml,in the mornings,for thyroid .The DR. wants to keep him out of School for 3 months,but I dont see that being so.To me thats like making him being away from the things he loves.Plus I am on staff at Funerals homes as a soloist here in my city,and Singing is my Life, for over 60,years.Since the thyroid iodine treatment Josiah, has had 19,tics and 5 seizures,.However I did send him to Drew Transition Center today,but Friday the DR. faxed info to School about him staying away for fear of hurting himself. Please give me in your opinion",healthcare,2
"I ve been in a plyhydramnios condition. I gave birth at 39 weeks to a baby boy and now currently experiencing hard to swallow condition and having hard time to breathe, without the aid of oxygen machine he can t breathe, the neonatalogist said my baby has pneumonia. Please do help on what medical advice you can give me.",healthcare,2
"Hello,I was woken up this morning from a sever pain in my left abdomen section that stretched to my upper part of my back.  I tried to walk it off, but it did nothing.  So I got some Advil and took it with water.  I tried to lay back down in my bed, but the pain was so unbearable I got up and got on the floor, trying to find some type of relief.  After about 2-3 minutes on the floor, my mouth got really watery.  I went into the bathroom and immediately started throwing up.  However, it was only liquid.  The pain is still ripping through my stomach, what should I do?",healthcare,2
"Why is it that if I believed doctors I would have already been dead three times? Now I have prostate cancer two doctors told me only surgery, and other suggested radiation . I refused all of these, and took two herbs that stopped the symptoms in three weeks that I had for more than a year. Yes, I could die in a couple more years as they expected, but I would rather die than have surgery.",healthcare,2
"I have a throbbing pain on my right hand side. It began off and on a couple of months back. Now it is effecting my sleep, and daily activities. It has begun to be constant in the last few days. It is directly on my side around the middle; above my hip area.",healthcare,2
"Hi Dr. Rakesh, I use to masturbate from long time. I got married 2 years back. How ever I found that when I ejaculate it is not coming by pressure if I masturbate regularly. But I I masturbate after 4 to 5 days, my semen ejaculate by pressure . Please suggest me how can I increase my pressure of my ejaculation of my semen. I want to get my wife conceive for a child. Thanks a Lot !!!",healthcare,2
"hello,i need a medical assistance.I am 30 years old and i have a problem in my fingerswhich gets swollen and turns into black color specially at the joint area near the nail of my hand fingers. i got acute pain and i need an assistance online and ready to make visit to mumbai if required.",healthcare,2
"Thank you. I am seeing a cardiologist, because I sometimes have incidents of chest constriction, discomfort, sometimes lightheadedness (and now on Losartan I seem to have that every morning). These episodes pass in 10-15 minutes, but they leave me feeling weak. I ve had high blood pressure for several years and have been taking Atorvastatin and Metoprol, now also Losartan. I fear a real heart attack or stroke. This past week I had a chemical stress test and will find out next Friday if it revealed the cause of my condition. I also will let the doctors implant a very small heart monitor under my skin in two weeks. I just hope I last that long! I am really worried. My cardiologist thinks it s either A-fib or a blockage. Neither sounds very good. I haven t passed out yet, but about a month ago one of my constrictive events resulted in a dimming situation. After 3 Nitrostats and putting my head on my knees, I recovered, but that is the episode that got me referred to the cardiologist I m now seeing. Of course I ll be interested in your opinion.Thank you again. - Helene Langtry",healthcare,2
"I suffer regularly from headaches and migraines, sometimes these migraines will spread to my neck and even my back. Lately though I have felt a cold/freezing/numb sensation at the back of my head, mostly when Im laying down and stand up. Ive had anemia before and I know one of my symptoms was loosing my vision momentarily when I got up from bed/laying down too quickly or in a rash manner but this isnt the case. What can cause this cold sensation, what does it mean?",healthcare,2
I am 64 years old. I am on 40 mg Lisinopril and 50 Metroprolol.  My blood pressure had been running 150/80-92 for several days even with the medication.  Then just like that for the last 4 days it has been 94-100/62-64.  Should I be concerned with the sudden drop.  Feel fine.,healthcare,2
I m 12 weeks pregnant. I used to take amitriptyline 25 mg /day for chronic back pain (sciatic nerve pain) before the pregnancy. I was OK until the pain started to be worst few days ago. Can I keep taking amitriptyline during the pregnancy? Is it safe the the baby ? thanks,healthcare,2
"I am 31 weeks pregnant and have been having soreness - painful soreness- in my sternum for several days now. The pain also goes into my right breast and even had the veins in my right breast looking almost bruised the other night. Is this something to worry about? It has lasted for 4 days now and I have a doctors appointment scheduled in one week, but should I seek out an earlier appointment? I am 32 years old, 31 weeks pregnant.",healthcare,2
"i have on the top of my hand a staff infection the size of a half of a cherry tomatoe i am taking 1ooomg of penicillin every 4 hrs, soaking my hand epsomsalt and hot water and using bacitracinit started on wed is there anything else i can do it does not seem any beter or do i just need more time for it to start healing?",healthcare,2
My boyfriend and I have been togother for ten years. Rescently he went away for 4 momths where there were only guys. Upon arriving home he has this excess skin around his butthole and insists that it s from doing exercises to tighten his ass. But it kinda looks like the skin that woman have in their vaginas. It s NOT a skin tag. Please tell me what this could be. Is he getting screwed by another guy/s?,healthcare,2
"hello doctor, i masturbate everyday since 3 years and most of the time 2 times in a day. and i had sex many times but sometimes my penis i not hard because of which i cannot have sex but after that when i go to washroom and masturbates at that time my penis is erected i dont know why..is this because of masturbating? does masturbating  results in soft penis at time of sex...? is it harmful?",healthcare,2
"I am a male 79 years old, have brief chills the may sweat have had for about 2 months also white blood cell count to high had bone marrow test and ok so far dr has no idea what is wrong when I chill have no fever as I check that and blood pressure. thanks",healthcare,2
"The right kidney is slightly hyperechoic with decreased corticomedullary differentiation. It is normal in position and size, measuring 11.3 cm in long axis.  No evidence of hydronephrosis, renal mass, or perinephric fluid collections.  The left kidney is slightly hyperechoic with decreased corticomedullary differentiation. It is normal in position and size, measuring 11.9 cm in long axis.  No evidence of hydronephrosis, renal mass, or perinephric fluid collections. There are two anechoic cystic lesions within the lower pole of the left kidney with increased through transmission and imperceptible walls without internal septations, calcification, or internal color Doppler blood flow compatible with benign simple renal cysts. The more superior lesion measures 9 x 7 x 7 mm and the more inferior lesion measures 1.3 x 0.8 x 0.8 cm. The urinary bladder appears normal.Findings of hyperechogenicity and decreased corticomedullary differentiation are suggestive of medical renal disease.  Clinical correlation is advised.Can someone please tell me what the findings mean? Am I going into Kidney Failure. I have no toher medical conditions. I had a routine UA done over a week ago and protein was noted in myurine so my doctor sent me for an ultrasound. My creatine was normal and all other test. I am 44 and Im an AA Female. thank you.",healthcare,2
"My brother broke three ribs by the sternum L (aortic) and went to urgent care they told him he has to be off work 6 weeks but just started a new job. He is a heavy equipment operator and using aleve. He went to urgent care for the x-ray and that is how he was diagnosed. Now, no problems breathing, no blood, no discolored sputum and yet, he is having difficulty just maneuvering simple controls or turning side to side. He read he should not wrap because of restriction. He cannot take off work any suggestions on how to support his cage?",healthcare,2
"My son hit his side, lower abdomen on his camping chair with the medal rod while runing with it. He cried but didnt complain of pain said it hurt a little. I rubbed the area his right lower abdomen on his side. I was wondering if i should take him to the e.r for check up of internal bleeding? I asked google and now Im worried. please help",healthcare,2
I have not been feeling good the last few days.  I have been on my period for 10 days. I am taking birth control.  The last three days I have had diarrhea and feel a little sick to my stomach.  When every I try and stand up from laying down.  I have severe cramps.  The only way to describe it is by saying it feels like my lower insides are hard and stiff and when I am trying to stand up I am bending them a way that they should not.  I may not be explaining it correctly.  I am not sure if is just a bad period or if I should be worried,healthcare,2
1. Why exactly is Deriphyllin retard 150 tablets taken in Mild Asthma? Is it an antagonist or a drug that creates a reaction with some element in the body? 2. The same question for Montelukast 10 mg. 3. Which is the primary drug and which is complimentary? Deriphyllin 150 or Montelukast 10mg 4. Is there any difference in effect of a chewable tablet viz a viz non-chewable one? Thank You.,healthcare,2
what should i do about severe body /arm and leg tremors. Im scared to take any medications that i was prescribed for sleep/depression/anxiety because of this severe tremoring . I have been basically totally inactive for weeks and lost about 4 kilos and i think this may have caused the tremors because my heart feels extremely weak. I dont want to cause a further problem by taking a medication for 2 weeks. Should i get my heart and cardiovascular system checked before taking and medications. It feels like i am almost going to have a heart attack when i lay down and my whole chest tremors.I even fear i may have already had a small heart attack or something. im 37 and my appearance looks normal/a bit thin. What specific tests should i get done?,healthcare,2
"i have A bright red rash in the creases of my elbows.. went to the doctor he said it was a yeast infection caused by my pregnancy hormones its now been a yr and it still comes and goes... but ussually when im the most stressed out ive used every thinng and nothing seems to work,,,what could it be and there is also lupis in my family could it possibly that",healthcare,2
"My wife is a 79 year old white female with congenital back problems and multiple problems with her shoulders, legs, knees, hands all associated with arthritis. She has had several surgeries over the years, shoulder replacement, knee surgery,and back surgery. She is presently being prescribed Hydrocodone APAP-10/500 for pain. She has been on this dosage for about 2 years. It was marginally effective when she began taking the medicine and now is ineffective. Her doctor has been very reluctant to consider an increase in her medication. Should I consider making a change in doctors?",healthcare,2
"Dear Sir,For past 20days from Jan2014 till feb2014 i have been suffering from low back pain. Visited Orthopedic he asked me to do MRI scan. Than he suggested me for HLAB 27  report which is also negetive than he asked me to chk with rhemetogist for (ankylosing spondylitis). Rhemetologist gave me Zempred, Volitra, Rabani in Feb2014 for 10daysAs compared to Jan2014 my pain is litle in Feb2014 after taking medicines regularly & again told me to contine so that the swelling will come to normal. I am really looking for excersise to fight with  Ankylosing Spondylitis even thought it is there or not. This for precaution for future.",healthcare,2
"Doctor, I had this genital looking warts on my penis and I applied 100% tea tree oil at night for over a week. Lately, I have been realizing that my penis looks wrinkly on the left side where I had put on the tea tree oil. However, my penis seems to look normal when it is erected. Is there anything I can do about it so that the wrinkle is gone even when I am not erected? Thx",healthcare,2
"I am 9 weeks pregnant, 35 years old. Tonight I found a rather large lump on my right side next to my breast (but not on my breast at all). Its visible just by looking at me and comparing to my left side. Its not painful and I dont feel anything substantive or hard. Its about three -four inches and goes from my side around to my back. I have a check up with my ob on Friday but am curious to know what might be going on. First time being pregnant. Have had some pain when I lay on my side and rest my arm in that area but I assumed it was due to the painful breast issues that comes with pregnancy. Any ideas?",healthcare,2
Height,healthcare,2
I have a small lump on the lower left back side. of course my first thought was I have cancer!! but it hasnt changed size and it moves around easily. its on top on my hip bone and i think its on a nerve because sometimes theres a shooting pain that goes thro my leg. but then again it could just be my arthritis. it also feels restless when i try to go to sleep. i know i should see a doctor but right now i need to know what it most likely could be because im freaking out!,healthcare,2
"my mom who is 58 years old will be having a triple bypass, how long will her recovery be. she is not a smoker or a drinking but has high cholesterol issues and high blood pressure. Does someone of this age have a better chance at no complications then someone older who drinks, smokes and has other health issues",healthcare,2
Hello I have been diagnosed with panic disorder (300.01) form my psychiatrist and have been on citalipram and gabapenten and propranolo the proproano is doing a good job physically but had to stop the gabapentin because it was causing me worse anxiety I told this to my phyc and she will not get me some valume had it once for panic and it worked wonders but can t seem to get any do know why so I m going it by my self. Need to find a Doc online or prescription I do have a diagnosis form my phyc if anybody wont to see it to get prescription,healthcare,2
hi i am 21 years old girl a medical a third year mbbs studenthave got severe pain in abdomen around umblicus i have been prescribed metrogyl compound but no change,healthcare,2
"My 6 year old son has been ill for over a week now with headaches, and lumps on the back of his head. Been to A&E and was told it was swollen glands and was given calpol. A few days later he was still very poorly and lumps had got bigger. Went to my GP who said it is a scalp infection and gave antibiotics and antihistamine. Finished course of medicine and lumps are still present and sore! What do i do next!!?",healthcare,2
"Hi Doctor, Nice you have given us a chance to clarify doubts via online! Ah im Ahamed from Sri Lanka, so hope you know what our skin colour is. Actually I wanted to become fairer because I wanted to attract my girlfriend as well as to have a change in life... So the only person can help me is YOU!!! My skin type",healthcare,2
"On Thursday i had a fever and was very week with chills and fever. My abdominal area was hurting a lot. I slept most of the day and felt better Friday, but I still felt weak then and now. My stomach is bloated and I haven t had a good bowel movement in a couple of days.",healthcare,2
My period normally comes every 34 days. My period was due yesterday and it still hasnt come. I have also had a yeast infection the past week. My boobs are sore I have been having slight headaches and stomach aches. Can the yeast infection cause a delay in my period or is it more likely I could be pregnant?,healthcare,2
"hi my grandson has had a throat infection a week ago an last Monday developed an ear and eye infection,seems like a conjunctivitis.This morning he has some small red spots on his face and two tiny watery ones in his ear.yesterday he was running a temperature,not too high though.Is it linked to chickenpox please/",healthcare,2
